Crop,State,District,Yield,Area,CSensitivity,Total_Harvest_Area,Cost,Calorie,MSP,Harvest Price,Profit_MSP,Profit_HP,Procurement,Profit
prl,1,Cuddapah,1.786065671,0.455,-4.779877301,2.2953,695,348,1950,1282.25395,1255,587.2539497,0,587.2539497
rice,1,Cuddapah,NA,0,NA,2.2953,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Cuddapah,1.649364484,1.7907,-10.52171425,2.2953,698,334,2450,1901.655743,1752,1203.655743,0,1203.655743
fng,1,East Godavari,1.002110787,0.2437,-6.736595735,6.3192,613,320,2897,1720.342772,2284,1107.342772,0,1107.342772
mze,1,East Godavari,5.463394041,0.84,-5.923052612,6.3192,638,334,1700,1280.005646,1062,642.0056463,0,642.0056463
prl,1,East Godavari,0.660130586,0.4203,-6.736595735,6.3192,695,348,1950,1724.05918,1255,1029.05918,0,1029.05918
rice,1,East Godavari,2.941423568,4.5314,-11.87088234,6.3192,694,356,1750,1859.539409,1056,1165.539409,0,1165.539409
srgk,1,East Godavari,1.719830859,0.2838,-9.520000458,6.3192,698,334,2450,1831.657684,1752,1133.657684,0,1133.657684
fng,1,Guntur,1.502216597,0.0366,-5.945597031,12.1861,613,320,2897,2208.494846,2284,1595.494846,0,1595.494846
mze,1,Guntur,6.999043261,9.2718,-6.086194044,12.1861,638,334,1700,1234.478054,1062,596.4780537,0,596.4780537
prl,1,Guntur,1.659717173,2.6616,-5.945597031,12.1861,695,348,1950,1262.847399,1255,567.8473988,0,567.8473988
rice,1,Guntur,2.755019093,0.0457,NA,12.1861,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Guntur,1.629172211,0.1704,NA,12.1861,698,334,2450,1309.236446,1752,611.2364456,0,611.2364456
fng,1,Hyderabad,1.483819679,0.6787,-11.54382022,27.9158,613,320,2897,2091.894445,2284,1478.894445,0,1478.894445
mze,1,Hyderabad,2.599919946,16.717,-12.29179777,27.9158,638,334,1700,1417.315081,1062,779.315081,0,779.315081
prl,1,Hyderabad,0.58352813,0.1653,-11.54382022,27.9158,695,348,1950,1436.272469,1255,741.2724692,0,741.2724692
rice,1,Hyderabad,2.109431404,0.073,NA,27.9158,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Hyderabad,1.160329016,10.2818,-4.968928576,27.9158,698,334,2450,2051.046059,1752,1353.046059,0,1353.046059
fng,1,Karimnagar,NA,0,-6.88496401,19.4206,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Karimnagar,3.430803763,19.3606,-6.777872344,19.4206,638,334,1700,1389.172107,1062,751.1721067,0,751.1721067
prl,1,Karimnagar,NA,0,-6.88496401,19.4206,695,348,1950,3516.423827,1255,2821.423827,0,2821.423827
rice,1,Karimnagar,2.82397583,0.054,NA,19.4206,694,356,1750,2581.874397,1056,1887.874397,0,1887.874397
srgk,1,Karimnagar,1,0.006,-3.730000019,19.4206,698,334,2450,2401.20023,1752,1703.20023,0,1703.20023
fng,1,Khammam,1.242647059,0.0057,-7.859306926,25.7914,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Khammam,4.706812325,8.4041,-8.669281762,25.7914,638,334,1700,1437.626159,1062,799.6261591,0,799.6261591
prl,1,Khammam,0.547077359,0.0159,-7.859306926,25.7914,695,348,1950,1552.507082,1255,857.5070821,0,857.5070821
rice,1,Khammam,2.470444382,17.2555,NA,25.7914,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Khammam,1.118472132,0.1102,-4.157463772,25.7914,698,334,2450,2646.774829,1752,1948.774829,0,1948.774829
fng,1,Krishna,NA,0,-6.187656276,1.4881,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Krishna,5.634061823,1.3143,-7.985098065,1.4881,638,334,1700,1271.674688,1062,633.6746876,0,633.6746876
prl,1,Krishna,NA,0,-6.187656276,1.4881,695,348,1950,1552.507082,1255,857.5070821,0,857.5070821
rice,1,Krishna,2.754865719,0.0916,NA,1.4881,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Krishna,1.469540653,0.0822,-3.630000114,1.4881,698,334,2450,1651.311345,1752,953.3113452,0,953.3113452
fng,1,Kurnool,1.516392189,0.012,-3.65880208,14.4716,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Kurnool,4.420354994,5.6825,-5.023789476,14.4716,638,334,1700,1248.204909,1062,610.2049091,0,610.2049091
prl,1,Kurnool,1.09753426,5.4473,-3.65880208,14.4716,695,348,1950,1360.39026,1255,665.3902597,0,665.3902597
rice,1,Kurnool,2.78991911,0.1276,NA,14.4716,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Kurnool,2.53507199,3.2022,-7.260380434,14.4716,698,334,2450,1703.78328,1752,1005.78328,0,1005.78328
fng,1,Mahbubnagar,1.277370294,1.227,-8.694228882,105.4157,613,320,2897,1898.725537,2284,1285.725537,0,1285.725537
mze,1,Mahbubnagar,2.105944887,72.2507,-9.184626849,105.4157,638,334,1700,1365.969453,1062,727.9694533,0,727.9694533
prl,1,Mahbubnagar,0.587547969,3.4185,-8.694228882,105.4157,695,348,1950,1290.191814,1255,595.1918141,0,595.1918141
rice,1,Mahbubnagar,2.188741761,2.2952,NA,105.4157,694,356,1750,2081.166777,1056,1387.166777,0,1387.166777
srgk,1,Mahbubnagar,0.821953847,26.2243,-5.996142128,105.4157,698,334,2450,2529.27246,1752,1831.27246,0,1831.27246
fng,1,Medak,1,0.0031,-9.530983618,72.4497,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Medak,2.568175426,58.6765,-10.79926231,72.4497,638,334,1700,1345.903163,1062,707.9031626,0,707.9031626
prl,1,Medak,0.57386203,0.2919,-9.530983618,72.4497,695,348,1950,1211.40181,1255,516.4018095,0,516.4018095
rice,1,Medak,2.484782113,0.3643,-11.17000008,72.4497,694,356,1750,1987.775333,1056,1293.775333,0,1293.775333
srgk,1,Medak,1.097098426,13.1139,-3.334132226,72.4497,698,334,2450,2470.13158,1752,1772.13158,0,1772.13158
fng,1,Nalgonda,NA,0,-12.80725148,4.648,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Nalgonda,2.228943248,1.3674,-15.6374234,4.648,638,334,1700,1321.611849,1062,683.6118494,0,683.6118494
prl,1,Nalgonda,0.569932707,1.5776,-12.80725148,4.648,695,348,1950,1433.018501,1255,738.018501,0,738.018501
rice,1,Nalgonda,NA,0,-24.99894742,4.648,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Nalgonda,0.696841928,1.703,-5.534842782,4.648,698,334,2450,2296.70682,1752,1598.70682,0,1598.70682
fng,1,Nellore,1.437375132,0.0331,-6.995589121,3.6102,613,320,2897,2190.053951,2284,1577.053951,0,1577.053951
mze,1,Nellore,5.465131345,0.6143,-7.004934642,3.6102,638,334,1700,1336.662954,1062,698.6629542,0,698.6629542
prl,1,Nellore,1.681612404,2.1537,-6.995589121,3.6102,695,348,1950,1260.483592,1255,565.4835916,0,565.4835916
rice,1,Nellore,3.101688312,0.6861,NA,3.6102,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Nellore,1.597997465,0.123,-12.02593941,3.6102,698,334,2450,1425.06243,1752,727.0624299,0,727.0624299
fng,1,Nizamabad,1,0.001,-6.26364581,21.9332,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Nizamabad,3.713644985,20.9149,-6.365263151,21.9332,638,334,1700,1310.830314,1062,672.8303143,0,672.8303143
prl,1,Nizamabad,0.472337673,0.0018,-6.26364581,21.9332,695,348,1950,3888.225011,1255,3193.225011,0,3193.225011
rice,1,Nizamabad,2.91947667,0.1488,-13.89000034,21.9332,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Nizamabad,1.136576733,0.8667,-3.73537634,21.9332,698,334,2450,2731.895164,1752,2033.895164,0,2033.895164
fng,1,Srikakulam,1.100420286,1.571,-3.329999924,26.9803,613,320,2897,2060.65663,2284,1447.65663,0,1447.65663
mze,1,Srikakulam,3.802559849,3.5929,-4.880800018,26.9803,638,334,1700,1268.351004,1062,630.3510038,0,630.3510038
prl,1,Srikakulam,1.330098722,1.7257,-3.329999924,26.9803,695,348,1950,1244.799582,1255,549.7995824,0,549.7995824
rice,1,Srikakulam,1.836745923,19.8313,-13.13095231,26.9803,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Srikakulam,1.696994075,0.2594,-2.75999999,26.9803,698,334,2450,1831.657684,1752,1133.657684,0,1133.657684
fng,1,Vishakhapatnam,0.958774945,16.1668,-5.515319187,44.7733,613,320,2897,1630.794288,2284,1017.794288,0,1017.794288
mze,1,Vishakhapatnam,2.98270304,5.7536,-5.04416665,44.7733,638,334,1700,1506.516799,1062,868.5167992,0,868.5167992
prl,1,Vishakhapatnam,0.957405681,4.0103,-5.515319187,44.7733,695,348,1950,1954.123729,1255,1259.123729,0,1259.123729
rice,1,Vishakhapatnam,1.684569108,18.1231,-10.3056522,44.7733,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Vishakhapatnam,1.708245958,0.7195,-5.913900015,44.7733,698,334,2450,1831.657684,1752,1133.657684,0,1133.657684
fng,1,Warangal,NA,0,-13.18055555,24.9239,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Warangal,3.309587353,21.5421,-13.65295772,24.9239,638,334,1700,1419.515954,1062,781.5159536,0,781.5159536
prl,1,Warangal,0.659754294,0.005,-13.18055555,24.9239,695,348,1950,2008.232203,1255,1313.232203,0,1313.232203
rice,1,Warangal,2.37770211,3.2513,NA,24.9239,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Warangal,0.798082171,0.1255,-3.033611101,24.9239,698,334,2450,2500.547339,1752,1802.547339,0,1802.547339
fng,1,West Godavari,NA,0,-3.75999999,1.7508,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,West Godavari,5.128751715,0.4387,-4.692111142,1.7508,638,334,1700,1294.891174,1062,656.8911741,0,656.8911741
prl,1,West Godavari,NA,0,-3.75999999,1.7508,695,348,1950,1552.507082,1255,857.5070821,0,857.5070821
rice,1,West Godavari,2.937729087,1.2601,NA,1.7508,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,West Godavari,1.539607843,0.052,-3.940000057,1.7508,698,334,2450,1826.600832,1752,1128.600832,0,1128.600832
fng,2,Cachar,NA,0,NA,112.7579,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Cachar,0.489309955,0.074,-2.588363608,112.7579,704,334,1700,1670.115023,996,966.1150228,0,966.1150228
prl,2,Cachar,NA,0,NA,112.7579,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Cachar,1.962299061,112.6839,-6.977777788,112.7579,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Cachar,NA,0,NA,112.7579,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Darrang,NA,0,NA,131.5037,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Darrang,0.599571212,0.942,-1.908453601,131.5037,704,334,1700,1038.322797,996,334.3227972,0,334.3227972
prl,2,Darrang,NA,0,NA,131.5037,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Darrang,1.431090156,130.5617,-9.783363646,131.5037,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Darrang,NA,0,NA,131.5037,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Dibrugarh,NA,0,NA,66.9365,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Dibrugarh,0.59658294,0.497,-2.862156868,66.9365,704,334,1700,2685.423488,996,1981.423488,0,1981.423488
prl,2,Dibrugarh,NA,0,NA,66.9365,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Dibrugarh,1.684021371,66.4395,-7.941702143,66.9365,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Dibrugarh,NA,0,NA,66.9365,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Goalpara,NA,0,NA,182.9782,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Goalpara,0.566305233,0.6599,-1.942121211,182.9782,704,334,1700,1482.084959,996,778.0849592,0,778.0849592
prl,2,Goalpara,NA,0,NA,182.9782,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Goalpara,1.501979663,182.3183,-9.90325758,182.9782,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Goalpara,NA,0,-1.49000001,182.9782,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Kamrup,NA,0,NA,212.0267,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Kamrup,0.677991543,0.319,-1.96810345,212.0267,704,334,1700,1733.928536,996,1029.928536,0,1029.928536
prl,2,Kamrup,NA,0,NA,212.0267,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Kamrup,1.61016984,211.7077,-10.6951724,212.0267,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Kamrup,NA,0,NA,212.0267,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Karbi Anglong,NA,0,NA,57.1625,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Karbi Anglong,0.787118078,5.298,-2.381578945,57.1625,704,334,1700,1042.419341,996,338.4193407,0,338.4193407
prl,2,Karbi Anglong,NA,0,NA,57.1625,695,348,1950,1574.205905,1255,879.2059045,0,879.2059045
rice,2,Karbi Anglong,1.628041546,51.8645,-6.071428503,57.1625,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Karbi Anglong,NA,0,NA,57.1625,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Lakhimpur,NA,0,NA,101.6329,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Lakhimpur,0.740006409,0.241,-2.763389842,101.6329,704,334,1700,1972.819708,996,1268.819708,0,1268.819708
prl,2,Lakhimpur,NA,0,NA,101.6329,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Lakhimpur,1.100749116,101.3919,-6.709285699,101.6329,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Lakhimpur,NA,0,NA,101.6329,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Nagaon,NA,0,NA,113.6464,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Nagaon,0.629661925,0.191,-2.402857136,113.6464,704,334,1700,4033.436553,996,3329.436553,0,3329.436553
prl,2,Nagaon,NA,0,NA,113.6464,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Nagaon,1.714728003,113.4554,-9.589682511,113.6464,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Nagaon,NA,0,NA,113.6464,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,North Cachar Hills,NA,0,NA,6.4481,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,North Cachar Hills,0.750356953,0.821,-2.867142848,6.4481,704,334,1700,2007.498117,996,1303.498117,0,1303.498117
prl,2,North Cachar Hills,NA,0,NA,6.4481,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,North Cachar Hills,1.557638966,5.6271,-5.806999969,6.4481,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,North Cachar Hills,NA,0,NA,6.4481,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,2,Sibsagar,NA,0,NA,135.8765,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,2,Sibsagar,0.568577014,0.146,-2.565824181,135.8765,704,334,1700,2138.57132,996,1434.57132,0,1434.57132
prl,2,Sibsagar,NA,0,NA,135.8765,695,348,1950,1455.979082,1255,760.9790816,0,760.9790816
rice,2,Sibsagar,1.887392732,135.7305,-7.911465489,135.8765,570,356,1750,2345.923521,1180,1775.923521,1,1180
srgk,2,Sibsagar,NA,0,NA,135.8765,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Bhagalpur,NA,0,-2.774259267,25.612,973,320,2897,1667.803745,1924,694.8037446,0,694.8037446
mze,3,Bhagalpur,2.64895094,14.668,-2.663092771,25.612,575,334,1700,1142.454506,1125,567.454506,0,567.454506
prl,3,Bhagalpur,1,0.001,-2.774259267,25.612,695,348,1950,1142.138338,1255,447.1383379,1,1255
rice,3,Bhagalpur,1.861903557,10.939,-10.06755557,25.612,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Bhagalpur,1,0.004,-3.038490556,25.612,945,334,2450,904.9138308,1505,-40.08616923,0,-40.08616923
fng,3,Champaran,0.845549433,0.315,-2.934897948,117.894,973,320,2897,1366.332548,1924,393.3325481,0,393.3325481
mze,3,Champaran,2.100857629,3.977,-2.47157143,117.894,575,334,1700,1204.055844,1125,629.0558437,0,629.0558437
prl,3,Champaran,1.05,0.02,-2.934897948,117.894,695,348,1950,1472.531221,1255,777.5312212,1,1255
rice,3,Champaran,0.910286371,113.541,-10.66131386,117.894,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Champaran,1.122727273,0.041,-3.321333329,117.894,945,334,2450,1604.248636,1505,659.2486356,0,659.2486356
fng,3,Darbhanga,0.788701384,1.471,NA,96.343,973,320,2897,1019.831723,1924,46.83172298,0,46.83172298
mze,3,Darbhanga,3.020942021,1.917,-2.486203698,96.343,575,334,1700,1150.104504,1125,575.1045036,0,575.1045036
prl,3,Darbhanga,NA,0,NA,96.343,695,348,1950,1474.59947,1255,779.5994701,1,1255
rice,3,Darbhanga,0.869467255,92.92,-12.13499996,96.343,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Darbhanga,0.892685825,0.035,-2.744807679,96.343,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Dhanbad,1.629618768,0.072,-3.051403514,22.204,973,320,2897,2393.293025,1924,1420.293025,0,1420.293025
mze,3,Dhanbad,1.119400089,2.408,-2.595312502,22.204,575,334,1700,1008.163718,1125,433.163718,0,433.163718
prl,3,Dhanbad,0.4,0.001,-3.051403514,22.204,695,348,1950,1425.685208,1255,730.6852078,1,1255
rice,3,Dhanbad,1.02785123,19.713,-6.840338958,22.204,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Dhanbad,0.625,0.01,-3.340185196,22.204,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Gaya,0.775609563,0.259,-2.987976199,7.122,973,320,2897,1003.72182,1924,30.72181968,0,30.72181968
mze,3,Gaya,1.762795467,2.558,-3.397354832,7.122,575,334,1700,1181.328168,1125,606.3281679,0,606.3281679
prl,3,Gaya,1.05,0.014,-2.987976199,7.122,695,348,1950,1142.138338,1255,447.1383379,1,1255
rice,3,Gaya,1.609622178,4.289,-11.11239718,7.122,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Gaya,0.908511029,0.002,-3.37287233,7.122,945,334,2450,869.4452574,1505,-75.55474257,0,-75.55474257
fng,3,Hazaribag,0.670682418,1.136,-3.335666678,93.409,973,320,2897,1304.769655,1924,331.7696551,0,331.7696551
mze,3,Hazaribag,1.217348888,17.204,-3.098009709,93.409,575,334,1700,1270.066085,1125,695.0660851,0,695.0660851
prl,3,Hazaribag,0.648390152,0.021,-3.335666678,93.409,695,348,1950,1425.685208,1255,730.6852078,1,1255
rice,3,Hazaribag,1.499632811,75.001,-8.362171066,93.409,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Hazaribag,0.577380952,0.047,-3.696593406,93.409,945,334,2450,2280.187841,1505,1335.187841,0,1335.187841
fng,3,Munger,0.784455128,0.073,-2.670952366,52.63,973,320,2897,1366.696285,1924,393.6962854,0,393.6962854
mze,3,Munger,1.859988355,16.789,-2.738230772,52.63,575,334,1700,1187.824406,1125,612.8244056,0,612.8244056
prl,3,Munger,NA,0,-2.670952366,52.63,695,348,1950,1977.779116,1255,1282.779116,1,1255
rice,3,Munger,1.40088867,35.731,-12.52077781,52.63,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Munger,1.167737142,0.037,-3.084583337,52.63,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Muzaffarpur,0.733137836,0.463,-3.168399992,112.944,973,320,2897,1003.72182,1924,30.72181968,0,30.72181968
mze,3,Muzaffarpur,1.681093369,2.988,-2.924190478,112.944,575,334,1700,1084.190767,1125,509.190767,0,509.190767
prl,3,Muzaffarpur,1.042857143,0.036,-3.168399992,112.944,695,348,1950,1359.612312,1255,664.6123122,1,1255
rice,3,Muzaffarpur,0.73383288,109.357,-11.74238098,112.944,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Muzaffarpur,1.0676116,0.1,-3.705925906,112.944,945,334,2450,1567.484536,1505,622.4845359,0,622.4845359
fng,3,Palamu,0.654496902,0.511,-3.634761935,43.717,973,320,2897,2029.846405,1924,1056.846405,0,1056.846405
mze,3,Palamu,1.379620098,21.249,-5.027547154,43.717,575,334,1700,1080.29887,1125,505.2988699,0,505.2988699
prl,3,Palamu,0.825,0.006,-3.634761935,43.717,695,348,1950,1041.377341,1255,346.3773407,1,1255
rice,3,Palamu,2.552155442,21.936,-10.91345682,43.717,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Palamu,0.488636364,0.015,-5.177265629,43.717,945,334,2450,1295.129713,1505,350.1297129,0,350.1297129
fng,3,Patna,0.814346154,0.015,-3.833902406,6.524,973,320,2897,1003.72182,1924,30.72181968,0,30.72181968
mze,3,Patna,1.24772413,2.774,-3.546986306,6.524,575,334,1700,1185.409443,1125,610.4094428,0,610.4094428
prl,3,Patna,1.086700337,0.049,-3.833902406,6.524,695,348,1950,1461.979579,1255,766.9795789,1,1255
rice,3,Patna,1.116358187,3.649,-12.4590411,6.524,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Patna,1.081871345,0.037,-3.5178788,6.524,945,334,2450,904.9138308,1505,-40.08616923,0,-40.08616923
fng,3,Purnia,0.676369786,0.607,NA,96.275,973,320,2897,1243.725977,1924,270.7259769,0,270.7259769
mze,3,Purnia,2.796055746,4.842,-1.618671326,96.275,575,334,1700,1151.012799,1125,576.0127994,0,576.0127994
prl,3,Purnia,NA,0,NA,96.275,695,348,1950,2293.172463,1255,1598.172463,1,1255
rice,3,Purnia,0.96747944,90.824,-8.205384598,96.275,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Purnia,1,0.002,-1.887272721,96.275,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Ranchi,0.649323259,4.183,-4.011250017,176.618,973,320,2897,887.2549757,1924,-85.74502432,0,-85.74502432
mze,3,Ranchi,1.518847787,8.425,-3.31336244,176.618,575,334,1700,931.7465333,1125,356.7465333,0,356.7465333
prl,3,Ranchi,0.7,0.001,-4.011250017,176.618,695,348,1950,1425.685208,1255,730.6852078,1,1255
rice,3,Ranchi,1.900426765,164.001,-6.262079653,176.618,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Ranchi,0.75,0.008,-4.248028161,176.618,945,334,2450,1767.399704,1505,822.3997035,0,822.3997035
fng,3,Saharsa,0.839766646,1.207,NA,30.792,973,320,2897,1003.72182,1924,30.72181968,0,30.72181968
mze,3,Saharsa,2.283308198,0.401,-2.029615391,30.792,575,334,1700,1046.251947,1125,471.2519467,0,471.2519467
prl,3,Saharsa,NA,0,NA,30.792,695,348,1950,1977.779116,1255,1282.779116,1,1255
rice,3,Saharsa,1.336745245,29.184,-12.5634616,30.792,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Saharsa,NA,0,-2.75,30.792,945,334,2450,855.3859724,1505,-89.61402759,0,-89.61402759
fng,3,Santhal Paragana,1.204683469,0.21,-3.071428564,140.077,973,320,2897,2367.338981,1924,1394.338981,0,1394.338981
mze,3,Santhal Paragana,1.456415328,20.526,-2.411564253,140.077,575,334,1700,969.7365265,1125,394.7365265,0,394.7365265
prl,3,Santhal Paragana,NA,0,-3.071428564,140.077,695,348,1950,1555.086727,1255,860.0867268,1,1255
rice,3,Santhal Paragana,2.720372419,119.322,-8.291517871,140.077,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Santhal Paragana,5.263157895,0.019,-3.057045448,140.077,945,334,2450,2029.846857,1505,1084.846857,0,1084.846857
fng,3,Saran,0.566920247,0.477,-3.068977264,113.093,973,320,2897,1003.72182,1924,30.72181968,0,30.72181968
mze,3,Saran,1.309946424,8.805,-3.053295447,113.093,575,334,1700,1163.170456,1125,588.1704561,0,588.1704561
prl,3,Saran,1.110253232,0.645,-3.068977264,113.093,695,348,1950,1509.765158,1255,814.7651581,1,1255
rice,3,Saran,1.073966866,103.124,-10.8651389,113.093,627,356,1750,2345.923521,1123,1718.923521,1,1123
srgk,3,Saran,1.022988506,0.042,-3.331206901,113.093,945,334,2450,1031.95331,1505,86.95330971,0,86.95330971
fng,3,Shahabad,0.880952381,0.023,-3.353666655,28.091,973,320,2897,2321.132663,1924,1348.132663,0,1348.132663
mze,3,Shahabad,1.006100145,1.898,-3.302434778,28.091,575,334,1700,1348.330186,1125,773.3301858,0,773.3301858
